Sno,ActPower,OptPower,,,,,,,,,
1,114.2679426,108.7559552,,,,,,,,,
2,53.12347295,50.76672946,,,,,,,,,
3,14.0609351,13.96731605,,,,,,,,,
4,8.943896883,8.828642234,,,,,,,,,
5,15.89386432,15.2048881,,,,,,,,,
6,48.90334912,41.889,,,,,,,,,
7,121.3911152,113.3420704,,,,,,,,,
8,89.62049431,82.77709213,,,,,,,,,
9,102.2397554,98.55650144,,,,,,,,,
10,136.8609786,125.7641151,,,,,,,,,
11,202.223038,181.7752514,,,,,,,,,
12,173.3070315,161.8377119,,,,,,,,,
13,173.6093822,166.0552631,,,,,,,,,
14,181.2541389,175.3551313,,,,,,,,,
15,163.6285435,142.3654598,,,,,,,,,
16,104.7059307,87.83150361,,,,,,,,,
17,85.6737143,78.29223483,,,,,,,,,
18,172.6276059,164.3201703,,,,,,,,,
19,345.4757664,326.4047828,,,,,,,,,
20,472.0982054,405.9070309,,,,,,,,,
21,494.3385637,418.0002502,,,,,,,,,
22,390.1159131,325.2916239,,,,,,,,,
23,246.2839973,231.6788701,,,,,,,,,
24,183.7521282,180.3120794,,,,,,,,,
25,92.17054794,89.99220185,,,,,,,,,
26,36.9650893,36.90940327,,,,,,,,,
27,21.0803242,20.48885479,,,,,,,,,
28,22.43416837,22.2154654,,,,,,,,,
29,27.88082406,27.60035423,,,,,,,,,
30,53.23159599,41.44850588,,,,,,,,,
31,94.01497815,87.54113598,,,,,,,,,
32,82.82894562,70.73424789,,,,,,,,,
33,163.1182931,132.6757917,,,,,,,,,
34,136.3858695,131.0348655,,,,,,,,,
35,141.6541251,135.6406583,,,,,,,,,
36,213.9412207,201.0769643,,,,,,,,,
37,248.1949467,226.2764094,,,,,,,,,
38,254.257099,223.8718862,,,,,,,,,
39,112.1315527,95.11057658,,,,,,,,,
40,226.5022742,191.8355983,,,,,,,,,
41,145.7263671,125.1802334,,,,,,,,,
42,174.4656652,151.4289532,,,,,,,,,
43,502.1017959,444.6145721,,,,,,,,,
