Date,Hour,CellName,Traffic,OptTraffic,ActPower,OptPower
10/16/2018 0:00,0,Cell_039873,13.351609999999999,8.292488,4.44916727076923,2.7633121550769233
10/16/2018 0:00,1,Cell_039873,15.498755,10.490964,5.1646620507692305,3.4959120036923075
10/16/2018 0:00,2,Cell_039873,2.1604479999999997,1.529803,0.7199277489230769,0.5097774304615384
10/16/2018 0:00,3,Cell_039873,13.07353,11.90485,4.356502458461538,3.967062323076923
10/16/2018 0:00,4,Cell_039873,11.647564,9.796135,3.881326711384615,3.2643736015384612
10/16/2018 0:00,5,Cell_039873,50.597983,36.696457,16.860804796615383,12.228388594153847
10/16/2018 0:00,6,Cell_039873,52.232141999999996,35.128913,17.405356857230768,11.706034701230768
10/16/2018 0:00,7,Cell_039873,133.132591,132.03145,44.36387570861538,43.99694164615385
10/16/2018 0:00,8,Cell_039873,46.603099,40.927879,15.529586528307691,13.638428602153844
10/16/2018 0:00,9,Cell_039873,90.79263699999998,87.706917,30.254900267999993,29.226643418769232
10/16/2018 0:00,10,Cell_039873,112.32976000000001,87.823115,37.431732332307696,29.265364167692308
10/16/2018 0:00,11,Cell_039873,193.888625,186.08861,64.60965565384615,62.01045065538461
10/16/2018 0:00,12,Cell_039873,88.54398699999999,73.522249,29.505580898769225,24.499875589846155
10/16/2018 0:00,13,Cell_039873,96.04106199999998,83.506402,32.003836967999995,27.82690257415384
10/16/2018 0:00,14,Cell_039873,19.829602,18.594482,6.6078335280000005,6.1962535403076915
10/16/2018 0:00,15,Cell_039873,27.592118999999997,24.971667,9.194543039076922,8.321327803384616
10/16/2018 0:00,16,Cell_039873,42.617442,37.603613,14.20144298030769,12.530680885846154
10/16/2018 0:00,17,Cell_039873,71.608276,62.114907,23.86208089476923,20.698598240307692
10/16/2018 0:00,18,Cell_039873,120.42109599999999,79.897597,40.1280144516923,26.624337708
10/16/2018 0:00,19,Cell_039873,94.773416,23.532837,31.581418316307694,7.841865375692308
10/16/2018 0:00,20,Cell_039873,102.930747,2.886075,34.29969200030769,0.9617289923076923
10/16/2018 0:00,21,Cell_039873,200.484876,150.74598,66.80772944861538,50.233198873846156
10/16/2018 0:00,22,Cell_039873,37.950726,6.916616,12.646349617846155,2.304829270153846
10/16/2018 0:00,23,Cell_039873,19.425717,12.116031,6.47324661876923,4.037434330153846
10/17/2018 0:00,0,Cell_039873,5.472696999999999,0.0,1.8236710310769226,0.0
10/17/2018 0:00,1,Cell_039873,10.863620000000001,8.239855,3.6200924492307696,2.74577322
10/17/2018 0:00,2,Cell_039873,11.394344,11.068774,3.796946016,3.6884560744615382
10/17/2018 0:00,3,Cell_039873,1.413667,0.50387,0.4710773418461538,0.1679049876923077
10/17/2018 0:00,4,Cell_039873,4.133596,3.497446,1.3774413747692307,1.1654566209230768
10/17/2018 0:00,5,Cell_039873,28.881808,3.844186,9.624307096615384,1.2810010578461537
10/17/2018 0:00,6,Cell_039873,43.990065,30.233944,14.65884319846154,10.074880416000001
10/17/2018 0:00,7,Cell_039873,51.264911,36.517539,17.08304572707692,12.168767611384615
10/17/2018 0:00,8,Cell_039873,10.394034000000001,0.0,3.46361194523077,0.0
10/17/2018 0:00,9,Cell_039873,10.849762,0.0,3.615474537230769,0.0
10/17/2018 0:00,10,Cell_039873,27.045552000000004,14.267673,9.01241009723077,4.754427648923077
10/17/2018 0:00,11,Cell_039873,38.103517999999994,11.537185,12.697264613538458,3.8445450323076917
10/17/2018 0:00,12,Cell_039873,40.849169,11.74481,13.612200008307694,3.91373207076923
10/17/2018 0:00,13,Cell_039873,45.842451,24.063433,15.276115210153845,8.018676288923077
10/17/2018 0:00,14,Cell_039873,60.017386,23.849896,19.999639704,7.947519190153846
10/17/2018 0:00,15,Cell_039873,37.528146,0.0,12.505532959384615,0.0
10/17/2018 0:00,16,Cell_039873,68.63233299999999,31.586069,22.870405119692304,10.525450069846153
10/17/2018 0:00,17,Cell_039873,83.385503,70.885014,27.786615307384615,23.621067742153844
10/17/2018 0:00,18,Cell_039873,127.13245099999999,48.995879,42.36444444092307,16.326934448307693
10/17/2018 0:00,19,Cell_039873,128.267311,19.908878,42.742614711692305,6.634250730461538
10/17/2018 0:00,20,Cell_039873,201.958375,80.821458,67.29874465384614,26.93219661969231
10/17/2018 0:00,21,Cell_039873,141.646199,33.512679,47.20087185138461,11.167455802153846
10/17/2018 0:00,22,Cell_039873,62.08473299999999,23.534898,20.688543335076922,7.842552164307691
10/17/2018 0:00,23,Cell_039873,32.941764,4.394357,10.977209357538461,1.4643349633846154
10/18/2018 0:00,5,Cell_039873,42.310333,33.585578,14.099104812,11.191747992
10/18/2018 0:00,21,Cell_039873,126.5078,92.510347,42.15629150769231,30.827294092615382
10/18/2018 0:00,15,Cell_039873,126.59785400000001,103.68245,42.18630027138462,34.55018256923077
10/18/2018 0:00,12,Cell_039873,37.833607,37.466814,12.607321963384615,12.485095249846154
10/18/2018 0:00,16,Cell_039873,43.842029000000004,41.54675,14.609513048307694,13.844655461538462
10/18/2018 0:00,9,Cell_039873,77.84312700000001,69.001421,25.939725089538463,22.993396597846154
10/18/2018 0:00,14,Cell_039873,103.84140300000001,94.009034,34.60315059969231,31.326702714461536
10/18/2018 0:00,2,Cell_039873,0.318696,0.0,0.10619931323076923,0.0
10/18/2018 0:00,7,Cell_039873,11.22095,0.0,3.7391658,0.0
10/18/2018 0:00,17,Cell_039873,93.21125400000001,92.397096,31.060857871384616,30.789555374769233
10/18/2018 0:00,6,Cell_039873,43.348988,42.033649,14.445216616615385,14.006905189846153
