Sno,ActPower,OptPower
12.0,184.1016788707692,154.8901763993846
13.0,173.60513130430772,149.23003896061536
14.0,201.12980963230768,198.7279771593846
15.0,277.39038496923075,272.29461644307696
16.0,148.90448246923077,139.15451451446154
17.0,210.7669306363077,192.30597321107692
18.0,334.19259894799995,255.38997707630767
19.0,470.34593863015385,331.8104131815384
20.0,491.7679882513846,297.2195828935385
21.0,461.90513616523066,365.18211579384615
22.0,292.73217280153847,232.3827650476923
23.0,145.38113554892306,131.16660658276925
24.0,57.95779327846154,47.31550249692307
25.0,52.83775126584615,47.73553748123077
26.0,82.291222416,81.6581126523077
27.0,62.64364796676922,60.874442390461546
28.0,19.277312846769227,18.040245769846152
29.0,84.13475218707691,35.446207142153845
30.0,95.24071818215384,68.49035365292308
31.0,110.27706478676923,81.5990982033846
32.0,96.359968588,76.14756994430769
33.0,111.05979396676923,89.96117975261538
34.0,139.98432523076923,115.13626386646155
35.0,235.77909196215384,184.11779259969228
36.0,225.81278558184613,169.2160000329231
37.0,132.8061450683077,90.45433171323077
38.0,239.00210586707692,168.67024674707693
39.0,235.17081565876927,162.19300447723077
40.0,128.5405504993846,56.49981536338461
41.0,203.82645639415384,179.51781255784616
42.0,323.9241115276923,171.97853007292306
43.0,471.56868274923073,260.8532027446154
44.0,646.3498586919999,410.78514655507695
45.0,437.48787343230765,227.20976661015385
46.0,321.01671760461545,246.05211587753848
47.0,124.50465741753847,68.99093073876922
48.0,249.76641142861536,232.80011902123076
49.0,487.36396763261536,421.2519988741538
50.0,275.72951206092307,231.1678661073846
51.0,78.23722743446154,77.52395595938462
52.0,155.10433289138462,150.64089775753845
53.0,185.97096464276925,168.77724968061537
54.0,136.6114738646154,117.49129622861537
55.0,205.21772688369228,204.59798462523077
56.0,144.51571808953847,122.69528375692308
57.0,197.53738206307693,195.9541599996923
58.0,234.1574295375385,231.59960341476923
59.0,163.48438936276924,160.85099953969234
60.0,77.8361967393846,59.775186264615385
61.0,95.96265548615384,94.00329797230768
62.0,154.5230076476923,144.31062793446154
63.0,221.14890495999998,214.44767222523078
64.0,82.43754385261538,65.49585016338462
65.0,254.84724133261537,252.54379240246152
66.0,124.61438987138463,121.31940633907692
67.0,301.7274278566154,300.51264673846146
68.0,219.48588031538463,195.19336733753846
69.0,197.01888572307692,125.35003071692307
70.0,148.9743815609231,122.02048753261538
71.0,265.8892943396923,232.59788665784615
72.0,410.6599162655384,231.3442544123077
73.0,297.09038638092306,261.8205987932307
74.0,382.7059565956923,367.441292764
75.0,128.4824145836923,32.711878436
76.0,147.25242101292307,117.66645983323076
77.0,131.4486509643077,129.97922246153846
78.0,250.21729096461536,153.11481600830768
79.0,216.4443132673846,215.15095757261537
80.0,340.306982676,326.18386474738463
81.0,213.6977568969231,148.48265253692307
82.0,292.93031459907695,284.9150002396923
83.0,299.265918668,271.36826056892306
84.0,126.91455407446153,126.69300082092307
85.0,147.332529596,146.9805796556923
86.0,111.56321825261539,63.05716185876923
87.0,154.26093190553848,149.49570891107692
88.0,252.29203051076925,192.61677556830767
89.0,135.9590976193846,133.20859139476923
90.0,171.25605380923076,170.88475128030768
91.0,176.03893733292307,170.28513721323077
92.0,96.22198461599999,95.96331604523077
93.0,106.90617342184613,106.40458032923077
94.0,141.71948671446154,140.23875999630766
95.0,66.43847776276922,52.23022712892308
96.0,16.138063011384617,15.369220426769228
97.0,30.136867524615386,29.69907042923077
98.0,6.616887495999999,6.3163063513846165
99.0,7.642411347692309,6.822641230769231
100.0,136.50141793938462,109.99068280861539
101.0,129.42964991076923,110.79419377015384
102.0,130.83569693230768,90.73939540553846
103.0,166.0373020553846,128.83642338092307
104.0,201.12116812,124.22076190553845
105.0,228.6717291433846,84.88269534584613
106.0,286.890692436,121.31681243353846
107.0,330.02299489630775,176.62629652799998
108.0,242.57256962338465,134.77503137846153
109.0,171.40634698707692,83.22681550830768
110.0,129.97349955876922,82.56252247876922
111.0,164.29142759107694,101.75394638492307
112.0,270.2376615163077,161.03941540430768
113.0,390.0470284030769,307.9809405446154
114.0,427.8564588196923,327.0313362978461
115.0,514.0941002030769,310.8202148723077
116.0,420.16075009200006,236.45690772092308
117.0,334.0715573529231,254.19129908892305
118.0,210.1812559430769,147.52912721630773
119.0,201.03433466984617,192.85694194984617
120.0,322.7715803243077,321.1272147461538
121.0,151.81004962184616,151.59474080676924
122.0,336.53299144584616,248.56964019353845
123.0,341.2988633190769,234.45748327015383
124.0,325.58514591723076,310.8272425233846
125.0,404.4829735221538,402.98984972584617
126.0,358.4313503067692,330.80171499938456
127.0,431.93349166123073,257.8993913156923
128.0,324.1764121898462,321.7960796901539
129.0,177.69667142,164.6055853206154
130.0,329.36483141353847,289.8863546950769
131.0,414.8956245110769,294.3974158366154
132.0,185.998527384,184.41344215538462
133.0,357.09410012307694,349.9858845270769
134.0,398.91523640061536,292.66438463076923
135.0,313.40550852092304,251.3780449286154
136.0,247.47326476092306,246.44779295015385
137.0,379.0814952541539,280.71519331384616
138.0,227.00745741230773,225.92462270738463
139.0,191.88349377415383,150.13791804953846
140.0,358.3763747996923,304.52974711076916
141.0,372.5146357667692,309.9256117855385
142.0,197.44962606523072,197.22896089384614
143.0,55.16483119569231,44.127091208
144.0,45.30377700830769,42.78078244830768
145.0,36.479216052000005,36.313552322769226
146.0,13.742085042153844,13.051250703692308
147.0,12.413972516,12.308271002153845
148.0,107.47829727815386,95.53173612307693
149.0,101.74301999446153,78.44502644369231
150.0,81.54910834307691,64.64782209076922
151.0,121.4116035673846,73.003741308
152.0,105.6514589046154,57.980241397538464
153.0,152.7159192209231,122.73622909846154
154.0,251.76343842092305,236.18858701292308
155.0,339.8732906839999,264.34548666461535
156.0,207.19541208307692,183.9922254206154
157.0,241.2485245833846,204.4809966547692
158.0,227.88141052030767,185.82965500769228
159.0,274.16534096707693,244.41388190276922
160.0,228.27924920799998,182.80834456246157
161.0,391.4013909298461,309.0662937618461
162.0,608.1690071901539,495.38286057784615
163.0,562.2862172,489.90232078553845
164.0,388.3486306523077,274.46867977753845
165.0,333.61740765200005,273.8667100821539
166.0,148.80956297076924,131.81556246
